location,time,pv_measurement,preds
B,2022-11-11 11:00:00,37.32583910964062,33.3792
A,2022-11-11 12:00:00,172.48000000000002,120.91331
C,2022-11-11 12:00:00,44.1,24.968687
B,2022-11-11 12:00:00,35.35308464618438,19.60972
C,2022-11-11 13:00:00,39.2,7.7924666
B,2022-11-11 13:00:00,4.8581748603468755,6.516137
A,2022-11-11 13:00:00,36.959999999999994,41.969524
B,2022-11-11 14:00:00,-0.0,0.0
A,2022-11-11 14:00:00,0.0,0.0
C,2022-11-11 14:00:00,10.780000000000001,0.0
C,2022-11-11 15:00:00,0.0,0.0
B,2022-11-11 15:00:00,-0.0,0.0
A,2022-11-11 15:00:00,0.0,0.0
A,2022-11-11 16:00:00,0.0,0.0
C,2022-11-11 16:00:00,0.0,0.0
B,2022-11-11 16:00:00,-0.0,0.0
A,2022-11-11 17:00:00,0.0,0.0
C,2022-11-11 17:00:00,0.0,0.0
B,2022-11-11 17:00:00,-0.0,0.0
B,2022-11-11 18:00:00,-0.0,0.0
C,2022-11-11 18:00:00,0.0,0.0
A,2022-11-11 18:00:00,0.0,0.0
A,2022-11-11 19:00:00,0.0,0.0
B,2022-11-11 19:00:00,-0.0,0.0
C,2022-11-11 19:00:00,0.0,0.0
A,2022-11-11 20:00:00,0.0,0.0
C,2022-11-11 20:00:00,0.0,0.0
B,2022-11-11 20:00:00,-0.0,0.0
B,2022-11-11 21:00:00,-0.0,0.0
A,2022-11-11 21:00:00,0.0,0.0
C,2022-11-11 21:00:00,0.0,0.0
A,2022-11-11 22:00:00,0.0,0.0
C,2022-11-11 22:00:00,0.0,0.0
B,2022-11-11 22:00:00,-0.0,0.0
C,2022-11-11 23:00:00,-0.0,0.0
B,2022-11-11 23:00:00,-0.0,0.0
A,2022-11-11 23:00:00,0.0,0.0
C,2022-11-12 00:00:00,-0.0,0.0
B,2022-11-12 00:00:00,-0.0,0.0
A,2022-11-12 00:00:00,0.0,0.0
B,2022-11-12 01:00:00,-0.0,0.0
A,2022-11-12 01:00:00,0.0,0.0
C,2022-11-12 01:00:00,0.0,0.0
C,2022-11-12 02:00:00,0.0,0.0
B,2022-11-12 02:00:00,-0.0,0.0
A,2022-11-12 02:00:00,0.0,0.0
B,2022-11-12 03:00:00,-0.0,0.0
A,2022-11-12 03:00:00,0.0,0.0
C,2022-11-12 03:00:00,0.0,0.0
A,2022-11-12 04:00:00,0.0,0.0
B,2022-11-12 04:00:00,-0.0,0.0
C,2022-11-12 04:00:00,0.0,0.0
B,2022-11-12 05:00:00,-0.0,0.0
C,2022-11-12 05:00:00,0.0,0.0
A,2022-11-12 05:00:00,0.0,0.0
C,2022-11-12 06:00:00,0.0,0.0
B,2022-11-12 06:00:00,-0.0,0.0
A,2022-11-12 06:00:00,0.0,0.0
C,2022-11-12 07:00:00,0.0,0.0
B,2022-11-12 07:00:00,-0.0,0.0
A,2022-11-12 07:00:00,7.920000000000001,0.0
B,2022-11-12 08:00:00,17.896947362528124,7.945141
A,2022-11-12 08:00:00,135.07999999999998,62.94773
C,2022-11-12 08:00:00,0.0,5.8856196
B,2022-11-12 09:00:00,47.92150842400312,41.091213
A,2022-11-12 09:00:00,446.81999999999994,222.2929
C,2022-11-12 09:00:00,11.76,33.89704
B,2022-11-12 10:00:00,42.51629132039063,63.338604
A,2022-11-12 10:00:00,450.56,360.8387
C,2022-11-12 10:00:00,45.08,59.455452
B,2022-11-12 11:00:00,77.10699702795,61.836647
A,2022-11-12 11:00:00,889.46,424.3786
C,2022-11-12 11:00:00,37.24,65.47081
C,2022-11-12 12:00:00,74.48,43.33701
