location,time,pv_measurement,preds
B,2022-11-27 15:00:00,-0.0,0.0
A,2022-11-27 15:00:00,0.0,0.0
C,2022-11-27 15:00:00,0.0,0.0
C,2022-11-27 16:00:00,0.0,0.0
B,2022-11-27 16:00:00,-0.0,0.0
A,2022-11-27 16:00:00,0.0,0.0
C,2022-11-27 17:00:00,0.0,0.0
B,2022-11-27 17:00:00,-0.0,0.0
A,2022-11-27 17:00:00,0.0,0.0
C,2022-11-27 18:00:00,0.0,0.0
B,2022-11-27 18:00:00,-0.0,0.0
A,2022-11-27 18:00:00,0.0,0.111182526
B,2022-11-27 19:00:00,-0.0,0.0
A,2022-11-27 19:00:00,0.0,0.0
C,2022-11-27 19:00:00,0.0,0.0
A,2022-11-27 20:00:00,0.0,0.0
B,2022-11-27 20:00:00,-0.0,0.0
C,2022-11-27 20:00:00,0.0,0.0
A,2022-11-27 21:00:00,0.0,0.0
B,2022-11-27 21:00:00,-0.0,0.0
C,2022-11-27 21:00:00,0.0,0.0
A,2022-11-27 22:00:00,0.0,0.0
B,2022-11-27 22:00:00,-0.0,0.0
C,2022-11-27 22:00:00,0.0,0.0
A,2022-11-27 23:00:00,0.0,0.0
C,2022-11-27 23:00:00,-0.0,0.0
B,2022-11-27 23:00:00,-0.0,0.0
A,2022-11-28 00:00:00,0.0,0.0
C,2022-11-28 00:00:00,-0.0,0.0
B,2022-11-28 00:00:00,-0.0,0.0
C,2022-11-28 01:00:00,0.0,0.0
A,2022-11-28 01:00:00,0.0,0.0
B,2022-11-28 01:00:00,-0.0,0.0
C,2022-11-28 02:00:00,0.0,0.0
A,2022-11-28 02:00:00,0.0,0.0
B,2022-11-28 02:00:00,-0.0,0.0
B,2022-11-28 03:00:00,-0.0,0.0
C,2022-11-28 03:00:00,0.0,0.0
A,2022-11-28 03:00:00,0.0,0.0
A,2022-11-28 04:00:00,0.0,0.0
B,2022-11-28 04:00:00,-0.0,0.0
C,2022-11-28 04:00:00,0.0,0.0
C,2022-11-28 05:00:00,0.0,0.01878447
B,2022-11-28 05:00:00,-0.0,0.0
A,2022-11-28 05:00:00,0.0,0.0
B,2022-11-28 06:00:00,-0.0,0.0
A,2022-11-28 06:00:00,0.0,0.0
C,2022-11-28 06:00:00,0.0,0.14466514
C,2022-11-28 07:00:00,0.0,0.18407714
B,2022-11-28 07:00:00,-0.0,0.0
A,2022-11-28 07:00:00,0.0,0.0
A,2022-11-28 08:00:00,27.5,8.688325
C,2022-11-28 08:00:00,0.0,0.0
B,2022-11-28 08:00:00,0.11873749640624999,0.0
B,2022-11-28 09:00:00,12.9162972979125,9.978438
C,2022-11-28 09:00:00,0.9800000000000001,6.136872
A,2022-11-28 09:00:00,134.64,139.75754
C,2022-11-28 10:00:00,16.66,17.317078
A,2022-11-28 10:00:00,208.56,251.91794
B,2022-11-28 10:00:00,30.752437852475005,22.493187
C,2022-11-28 11:00:00,29.400000000000002,20.253105
B,2022-11-28 11:00:00,21.985772024859372,22.148293
A,2022-11-28 11:00:00,117.04,245.16348
C,2022-11-28 12:00:00,22.54,8.8105135
B,2022-11-28 12:00:00,3.078837555415625,14.955345
A,2022-11-28 12:00:00,36.300000000000004,165.55237
B,2022-11-28 13:00:00,-0.0,0.33807245
A,2022-11-28 13:00:00,0.44,24.650984
C,2022-11-28 13:00:00,7.840000000000001,0.48116598
A,2022-11-28 14:00:00,0.0,0.3084773
C,2022-11-28 14:00:00,0.9800000000000001,0.0
B,2022-11-28 14:00:00,-0.0,0.0
A,2022-11-28 15:00:00,0.0,0.0
C,2022-11-28 15:00:00,0.0,0.0
B,2022-11-28 15:00:00,-0.0,0.0
B,2022-11-28 16:00:00,-0.0,0.0
A,2022-11-28 16:00:00,0.0,0.0
C,2022-11-28 16:00:00,0.0,0.0
A,2022-11-28 17:00:00,0.0,0.0
C,2022-11-28 17:00:00,0.0,0.0
B,2022-11-28 17:00:00,-0.0,0.0
C,2022-11-28 18:00:00,0.0,0.0
A,2022-11-28 18:00:00,0.0,0.0
B,2022-11-28 18:00:00,-0.0,0.0
C,2022-11-28 19:00:00,0.0,0.0
B,2022-11-28 19:00:00,-0.0,0.0
A,2022-11-28 19:00:00,0.0,0.0
B,2022-11-28 20:00:00,-0.0,0.0
C,2022-11-28 20:00:00,0.0,0.0
A,2022-11-28 20:00:00,0.0,0.0
A,2022-11-28 21:00:00,0.0,0.0
B,2022-11-28 21:00:00,-0.0,0.0
C,2022-11-28 21:00:00,0.0,0.0
A,2022-11-28 22:00:00,0.0,0.0
B,2022-11-28 22:00:00,-0.0,0.0
C,2022-11-28 22:00:00,0.0,0.0
C,2022-11-28 23:00:00,-0.0,0.0
A,2022-11-28 23:00:00,0.0,0.0
B,2022-11-28 23:00:00,-0.0,0.0
A,2022-11-29 00:00:00,0.0,0.0
B,2022-11-29 00:00:00,-0.0,0.0
C,2022-11-29 00:00:00,-0.0,0.0
A,2022-11-29 01:00:00,0.0,0.0
C,2022-11-29 01:00:00,0.0,0.0
B,2022-11-29 01:00:00,-0.0,0.0
A,2022-11-29 02:00:00,0.0,0.0
C,2022-11-29 02:00:00,0.0,0.0
B,2022-11-29 02:00:00,-0.0,0.0
B,2022-11-29 03:00:00,-0.0,0.0
C,2022-11-29 03:00:00,0.0,0.0
A,2022-11-29 03:00:00,0.0,0.0
C,2022-11-29 04:00:00,0.0,0.0
B,2022-11-29 04:00:00,-0.0,0.0
A,2022-11-29 04:00:00,0.0,0.0
C,2022-11-29 05:00:00,0.0,0.0
B,2022-11-29 05:00:00,-0.0,0.0
A,2022-11-29 05:00:00,0.0,0.0
C,2022-11-29 06:00:00,0.0,0.0
A,2022-11-29 06:00:00,0.0,0.0
B,2022-11-29 06:00:00,-0.0,0.0
B,2022-11-29 07:00:00,-0.0,0.0
A,2022-11-29 07:00:00,0.0,0.09265304
C,2022-11-29 07:00:00,0.0,0.0
B,2022-11-29 08:00:00,-0.0,0.0
A,2022-11-29 08:00:00,2.2,3.507875
C,2022-11-29 08:00:00,0.0,0.0
B,2022-11-29 09:00:00,0.13871874065624998,3.3774393
C,2022-11-29 09:00:00,0.0,2.6569045
A,2022-11-29 09:00:00,26.180000000000003,67.00025
B,2022-11-29 10:00:00,3.887862696434375,12.7235155
C,2022-11-29 10:00:00,1.9600000000000002,11.245998
A,2022-11-29 10:00:00,51.48,115.523834
B,2022-11-29 11:00:00,3.669578176965625,12.242351
A,2022-11-29 11:00:00,46.42,112.624725
C,2022-11-29 11:00:00,8.82,15.451153
B,2022-11-29 12:00:00,0.7439781905499999,8.935896
A,2022-11-29 12:00:00,34.54,91.03509
C,2022-11-29 12:00:00,9.8,5.8589835
A,2022-11-29 13:00:00,2.2,10.415403
C,2022-11-29 13:00:00,6.86,0.18265997
B,2022-11-29 13:00:00,-0.0,0.29358736
C,2022-11-29 14:00:00,0.9800000000000001,0.0
A,2022-11-29 14:00:00,0.0,0.0
B,2022-11-29 14:00:00,-0.0,0.0
C,2022-11-29 15:00:00,0.0,0.0
B,2022-11-29 15:00:00,-0.0,0.0
A,2022-11-29 15:00:00,0.0,0.0
C,2022-11-29 16:00:00,0.0,0.0
B,2022-11-29 16:00:00,-0.0,0.0
A,2022-11-29 16:00:00,0.0,0.0
C,2022-11-29 17:00:00,0.0,0.0
B,2022-11-29 17:00:00,-0.0,0.0
A,2022-11-29 17:00:00,0.0,0.0
C,2022-11-29 18:00:00,0.0,0.0
A,2022-11-29 18:00:00,0.0,0.0
B,2022-11-29 18:00:00,-0.0,0.0
A,2022-11-29 19:00:00,0.0,0.0
B,2022-11-29 19:00:00,-0.0,0.0
C,2022-11-29 19:00:00,0.0,0.0
B,2022-11-29 20:00:00,-0.0,0.0
C,2022-11-29 20:00:00,0.0,0.0
A,2022-11-29 20:00:00,0.0,0.0
C,2022-11-29 21:00:00,0.0,0.0
A,2022-11-29 21:00:00,0.0,0.0
B,2022-11-29 21:00:00,-0.0,0.0
C,2022-11-29 22:00:00,0.0,0.0
